Dataseed	minfreq	base_freq	base_freq_min	base_freq_max	fbtype	exec_max_sample_rate	exec_ignore_low_sr_samples	use_training_form	exec_n_ver_n_task_use_aug_dataset_dir_preprocess	nbands	wintime_steptime_dataset_kwargs	use_full_mfcc	test_operators	ontology	# insts (TRAIN)	# insts (TEST)	class_counts (TRAIN)	class_counts (TEST)	n_features	channel_size	T(entropy,2,0.01,0.4)train_accuracy	T(entropy,2,0.01,0.4)K	T(entropy,2,0.01,0.4)accuracy	T(entropy,2,0.01,0.4)macro_sensitivity	T(entropy,2,0.01,0.4)safe_macro_sensitivity	T(entropy,2,0.01,0.4)safe_macro_specificity	T(entropy,2,0.01,0.4)safe_macro_PPV	T(entropy,2,0.01,0.4)safe_macro_NPV	T(entropy,2,0.01,0.4)safe_macro_F1	T(entropy,2,0.01,0.4)n_nodes	T(entropy,2,0.01,0.4)t	T(entropy,2,0.01,0.4)hash	T(entropy,2,0.01,0.5)train_accuracy	T(entropy,2,0.01,0.5)K	T(entropy,2,0.01,0.5)accuracy	T(entropy,2,0.01,0.5)macro_sensitivity	T(entropy,2,0.01,0.5)safe_macro_sensitivity	T(entropy,2,0.01,0.5)safe_macro_specificity	T(entropy,2,0.01,0.5)safe_macro_PPV	T(entropy,2,0.01,0.5)safe_macro_NPV	T(entropy,2,0.01,0.5)safe_macro_F1	T(entropy,2,0.01,0.5)n_nodes	T(entropy,2,0.01,0.5)t	T(entropy,2,0.01,0.5)hash	T(entropy,2,0.01,0.6)train_accuracy	T(entropy,2,0.01,0.6)K	T(entropy,2,0.01,0.6)accuracy	T(entropy,2,0.01,0.6)macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_specificity	T(entropy,2,0.01,0.6)safe_macro_PPV	T(entropy,2,0.01,0.6)safe_macro_NPV	T(entropy,2,0.01,0.6)safe_macro_F1	T(entropy,2,0.01,0.6)n_nodes	T(entropy,2,0.01,0.6)t	T(entropy,2,0.01,0.6)hash	T(entropy,4,0.01,0.4)train_accuracy	T(entropy,4,0.01,0.4)K	T(entropy,4,0.01,0.4)accuracy	T(entropy,4,0.01,0.4)macro_sensitivity	T(entropy,4,0.01,0.4)safe_macro_sensitivity	T(entropy,4,0.01,0.4)safe_macro_specificity	T(entropy,4,0.01,0.4)safe_macro_PPV	T(entropy,4,0.01,0.4)safe_macro_NPV	T(entropy,4,0.01,0.4)safe_macro_F1	T(entropy,4,0.01,0.4)n_nodes	T(entropy,4,0.01,0.4)t	T(entropy,4,0.01,0.4)hash	T(entropy,4,0.01,0.5)train_accuracy	T(entropy,4,0.01,0.5)K	T(entropy,4,0.01,0.5)accuracy	T(entropy,4,0.01,0.5)macro_sensitivity	T(entropy,4,0.01,0.5)safe_macro_sensitivity	T(entropy,4,0.01,0.5)safe_macro_specificity	T(entropy,4,0.01,0.5)safe_macro_PPV	T(entropy,4,0.01,0.5)safe_macro_NPV	T(entropy,4,0.01,0.5)safe_macro_F1	T(entropy,4,0.01,0.5)n_nodes	T(entropy,4,0.01,0.5)t	T(entropy,4,0.01,0.5)hash	T(entropy,4,0.01,0.6)train_accuracy	T(entropy,4,0.01,0.6)K	T(entropy,4,0.01,0.6)accuracy	T(entropy,4,0.01,0.6)macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_specificity	T(entropy,4,0.01,0.6)safe_macro_PPV	T(entropy,4,0.01,0.6)safe_macro_NPV	T(entropy,4,0.01,0.6)safe_macro_F1	T(entropy,4,0.01,0.6)n_nodes	T(entropy,4,0.01,0.6)t	T(entropy,4,0.01,0.6)hash	RF(0.7,50,half,all)train_accuracy	RF(0.7,50,half,all)K	RF(0.7,50,half,all)accuracy	RF(0.7,50,half,all)macro_sensitivity	RF(0.7,50,half,all)safe_macro_sensitivity	RF(0.7,50,half,all)safe_macro_specificity	RF(0.7,50,half,all)safe_macro_PPV	RF(0.7,50,half,all)safe_macro_NPV	RF(0.7,50,half,all)safe_macro_F1	RF(0.7,50,half,all)oob_error	RF(0.7,50,half,all)n_nodes	RF(0.7,50,half,all)σ² train_accuracy	RF(0.7,50,half,all)σ² K	RF(0.7,50,half,all)σ² accuracy	RF(0.7,50,half,all)σ² macro_sensitivity	RF(0.7,50,half,all)σ² safe_macro_sensitivity	RF(0.7,50,half,all)σ² safe_macro_specificity	RF(0.7,50,half,all)σ² safe_macro_PPV	RF(0.7,50,half,all)σ² safe_macro_NPV	RF(0.7,50,half,all)σ² safe_macro_F1	RF(0.7,50,half,all)σ² oob_error	RF(0.7,50,half,all)σ² n_nodes	RF(0.7,50,half,all)t	RF(0.7,50,half,all)hash	
1	20.0	fft	200	700	fcmel	8000	true	stump_with_memoization	("c",1,false,"KDD",["NG","Normalize"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	226	56	(113, 113)	(28, 28)	[60]	[(50,)]	94.69	25.0	62.5	62.5	71.43	53.57	60.61	65.22	65.57	35	110.954	5ed2a219d6f82de89d0fa1f65c836834f140f880e036b51cc9d01c1825091525	86.28	35.71	67.86	67.86	71.43	64.29	66.67	69.23	68.97	17	11.859	05a1895f010175e0ace7b1bfa25ff8f9caae026903016cf601acb06276b3f267	76.99	28.57	64.29	64.29	75.0	53.57	61.76	68.18	67.74	7	9.043	6961312fdca3332b8624cf696f37178effb5cb5c2fbd0cec2b6a6f41e7e59eb0	91.15	28.57	64.29	64.29	71.43	57.14	62.5	66.67	66.67	33	13.283	0bb667a40ec9d3d23290396af337bef832556f0a5e8ff541a88e5820aa72171d	85.4	35.71	67.86	67.86	71.43	64.29	66.67	69.23	68.97	17	11.633	ae500a14f43b8157529fc4adaa500201ae5060540d380386d997e759cddb2f9b	76.99	28.57	64.29	64.29	75.0	53.57	61.76	68.18	67.74	7	8.918	6961312fdca3332b8624cf696f37178effb5cb5c2fbd0cec2b6a6f41e7e59eb0	99.65	50.71	75.36	75.36	76.43	74.29	75.24	75.94	75.67	30.35	148040.0	0.0	0.34	0.09	0.09	0.1	0.6	0.3	0.02	0.04	0.01	21880.0	2063.444	("7e3e9903da944bca9956d61399a7809aeea13bac28031a1cc479b8cf7f68bf89", "0d747237dad1409394ff0335c1011fbd23f0b27d7905f61cd9ae1a32b4e1c342", "49fc45de9aafc0b712a34ec0669b23357bd1af08150040310cd99bc415a5364c", "5b05eb824f750d78be83ef659f98300ba413a5dbeaf84b6546a26dd0a666425b", "306fadbc72a0dcc1e95eb971f8590e4e5ec57499a6f8861a86119d0d6b1321df")	
2	20.0	fft	200	700	fcmel	8000	true	stump_with_memoization	("c",1,false,"KDD",["NG","Normalize"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	226	56	(113, 113)	(28, 28)	[60]	[(50,)]	95.58	25.0	62.5	62.5	64.29	60.71	62.07	62.96	63.16	31	159.766	65a8f33f18bc3b20486a9b707b203a75debfe4262427ded875b627720ebe4eca	90.27	21.43	60.71	60.71	60.71	60.71	60.71	60.71	60.71	21	18.66	29a970f5c050e762bd94cfc65a56f417e214e2d8846bdda73a9a31a76221db59	84.07	28.57	64.29	64.29	60.71	67.86	65.38	63.33	62.96	13	17.377	7c994be8955b627c574deab17d0f093be6b1faed9183a370f0a735ec21818662	95.13	25.0	62.5	62.5	67.86	57.14	61.29	64.0	64.41	29	19.294	c34484137a4ab8548a7f18bc66169ee958cc5ec6e12fbcce78139ef293f855f5	90.27	21.43	60.71	60.71	60.71	60.71	60.71	60.71	60.71	21	18.555	29a970f5c050e762bd94cfc65a56f417e214e2d8846bdda73a9a31a76221db59	84.07	28.57	64.29	64.29	60.71	67.86	65.38	63.33	62.96	13	17.406	7c994be8955b627c574deab17d0f093be6b1faed9183a370f0a735ec21818662	99.82	34.29	67.14	67.14	67.14	67.14	67.07	67.45	66.96	31.42	149920.0	0.0	0.36	0.09	0.09	0.6	0.09	0.03	0.17	0.23	0.04	7720.0	1857.614	("a35ee9d98d904bbec9c325b402ebab7b514d9a13ca2aefc2184232c7b1619a08", "833d07e17834ecc467ed68c8ca334fb12aac224d6af9a6549bc2bd8c67db88bc", "602397206355904f6292e632181f6c710ca4c685562a0963ec1b34864d0688fc", "c9738cbadaa85e7724434993f893bf9f14ee9f794b222c3ea57c6c58aa20b2ac", "2275f5ca0c452abdbb79ac878531565dad4ebfff3a5acab126f8111196d2fa94")	
3	20.0	fft	200	700	fcmel	8000	true	stump_with_memoization	("c",1,false,"KDD",["NG","Normalize"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	226	56	(113, 113)	(28, 28)	[60]	[(50,)]	92.92	7.14	53.57	53.57	46.43	60.71	54.17	53.12	50.0	29	37.52	f1f6a5a53dbe23ccbe32b1b89d83509e598b53cef5d4a3e34e1fad884034b835	92.92	7.14	53.57	53.57	46.43	60.71	54.17	53.12	50.0	29	14.483	f1f6a5a53dbe23ccbe32b1b89d83509e598b53cef5d4a3e34e1fad884034b835	76.55	7.14	53.57	53.57	53.57	53.57	53.57	53.57	53.57	7	7.418	2d532d13fc73569dc2334dfa42aab7927d52c090d62dff79dbbd113654c700de	92.04	10.71	55.36	55.36	46.43	64.29	56.52	54.55	50.98	27	14.447	ae9b9b296a075e2bc1cbc7589f1c42d2f6392149ecba3cefbc1e63d9926d73e9	92.04	10.71	55.36	55.36	46.43	64.29	56.52	54.55	50.98	27	14.508	ae9b9b296a075e2bc1cbc7589f1c42d2f6392149ecba3cefbc1e63d9926d73e9	76.55	7.14	53.57	53.57	53.57	53.57	53.57	53.57	53.57	7	7.377	2d532d13fc73569dc2334dfa42aab7927d52c090d62dff79dbbd113654c700de	99.73	23.57	61.79	61.79	53.57	70.0	64.11	60.28	58.2	29.91	149440.0	0.0	0.17	0.04	0.04	0.45	0.17	0.04	0.07	0.16	0.09	10280.0	1522.428	("6341853126f2e7dad77c0187285a6e3c12f800db837ba50543eb4f1837f04ba0", "f9eb275da00b394d0368e905902aa35db2be60ff96583d11f232bf14a1880c35", "5f455d2681b23f81a32231fa093dafbc909f7904ac88edebdda618096760b29a", "c597f1f95d22ff447cbe31375040b660d9adc31083889a907af45b3e76f8a69c", "b6ba27dea0a1cf62ec436bb430102114bdd664c6e680f8c0128c9ad2cebf45f7")	
4	20.0	fft	200	700	fcmel	8000	true	stump_with_memoization	("c",1,false,"KDD",["NG","Normalize"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	226	56	(113, 113)	(28, 28)	[60]	[(50,)]	96.02	0.0	50.0	50.0	57.14	42.86	50.0	50.0	53.33	31	26.755	9e776ea2fd527ad11093a0971fa96e06aaf65ade6594d9332fe9563c89a21460	89.38	3.57	51.79	51.79	71.43	32.14	51.28	52.94	59.7	23	17.015	b16266c5d1f4ab430c730cb683e37a5854a4eda19ad76e47d0678b2af8efe441	82.3	10.71	55.36	55.36	67.86	42.86	54.29	57.14	60.32	15	15.534	e32ddf70896fdb12f790cb482d0a73a97df58a6a85a9c9104a7a73f3c553028b	96.02	0.0	50.0	50.0	57.14	42.86	50.0	50.0	53.33	31	17.296	9e776ea2fd527ad11093a0971fa96e06aaf65ade6594d9332fe9563c89a21460	89.38	3.57	51.79	51.79	71.43	32.14	51.28	52.94	59.7	23	17.546	b16266c5d1f4ab430c730cb683e37a5854a4eda19ad76e47d0678b2af8efe441	82.3	10.71	55.36	55.36	67.86	42.86	54.29	57.14	60.32	15	15.987	e32ddf70896fdb12f790cb482d0a73a97df58a6a85a9c9104a7a73f3c553028b	99.82	14.29	57.14	57.14	53.57	60.71	57.99	56.57	55.57	30.97	146440.0	0.0	0.96	0.24	0.24	0.26	0.7	0.36	0.18	0.2	0.02	41480.0	1608.706	("53ea176ab9f4aaa1e7d83005e720bfdfd1f3e72a6afa669f8c825eebd615895e", "5df63fecfd9829aabecc7b6ad197054b345e52b5008b3a3a781fbb1dcfdce800", "774a08b6b8366c402d42517b3de6e0ec8c8c755773bec58d60d745ef115bd6be", "34729fc8b40063c25152b5873c703923410c032819750f8c99762cdb0463c779", "8b064fc316f468549c11610a262edacf070c0f6db0b4ddab0c414b7b00998fd6")	
5	20.0	fft	200	700	fcmel	8000	true	stump_with_memoization	("c",1,false,"KDD",["NG","Normalize"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	226	56	(113, 113)	(28, 28)	[60]	[(50,)]	93.81	7.14	53.57	53.57	60.71	46.43	53.12	54.17	56.67	33	12.641	90d517687c45e5994dc352250e541643fb4a9157daebb621e9c63fb72b43454b	89.82	10.71	55.36	55.36	57.14	53.57	55.17	55.56	56.14	27	5.113	89ed70d379d7f8ce8f5b54016a3a5a05fe6eca89a9beb574991130bfb2fd8d4e	88.5	10.71	55.36	55.36	57.14	53.57	55.17	55.56	56.14	25	5.086	a84619f208d4a97f1c9fd2d96d16989eb9e49e05267bd75e31362309b9b8f879	93.81	14.29	57.14	57.14	57.14	57.14	57.14	57.14	57.14	37	5.328	6a129e10cbee876ac7cb57bfe97ecd93ba42277692102c82e43d2ec6f62ea93e	90.27	14.29	57.14	57.14	57.14	57.14	57.14	57.14	57.14	29	5.243	9cf5c1387f9edc1d4fd58949f8bf21d8d675394afd89498001bb13efc35d9afb	88.05	10.71	55.36	55.36	57.14	53.57	55.17	55.56	56.14	25	5.159	e1715e4ea33c092b106999e1cb3fc16742f82aafdfaebcb2a123b906e57ebd18	100.0	25.0	62.5	62.5	57.86	67.14	63.74	61.53	60.58	33.63	156480.0	0.0	0.96	0.24	0.24	0.47	0.28	0.28	0.21	0.35	0.04	28920.0	1400.168	("863847f78e301ca466f926b284a692a04b62b78b00637a6a5c7e375295041136", "dc4f90da183d2299ae68fc87f4e79c8a2d5a59cf4e6bc924963baba1d1e3dc06", "c7b68b0a9885e329fff0654bdb37beaf646b79e0204a270204ac99fd59313875", "10086c710db5bd0bf2a335d60b3949de85e9276da185e8c9d9171cc844227bea", "07a11496edae4cf893ecfc3a76d017b51f6a7613611a3f7a6588cf4a01476218")	
6	20.0	fft	200	700	fcmel	8000	true	stump_with_memoization	("c",1,false,"KDD",["NG","Normalize"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	226	56	(113, 113)	(28, 28)	[60]	[(50,)]	91.15	35.71	67.86	67.86	64.29	71.43	69.23	66.67	66.67	31	17.754	a949e217e6c08beda0c0f8637f51e9b4ad6657a554f2126aeae2139178b2bbf0	91.15	35.71	67.86	67.86	64.29	71.43	69.23	66.67	66.67	31	12.13	a949e217e6c08beda0c0f8637f51e9b4ad6657a554f2126aeae2139178b2bbf0	74.78	35.71	67.86	67.86	67.86	67.86	67.86	67.86	67.86	7	7.909	d75bc642453ac1e156591fb24813c211aa069b4c3be72b522f72c55856792fe4	91.59	39.29	69.64	69.64	71.43	67.86	68.97	70.37	70.18	31	12.09	6b9a2b2d016fca519285b1a032b0886867bfe6925b54ac2610d7ffc0f5e2128e	91.59	39.29	69.64	69.64	71.43	67.86	68.97	70.37	70.18	29	12.1	ccd81690400b800dac605f83e7d22906989e2139b1b34dc013439f1e943b5cc7	74.78	35.71	67.86	67.86	67.86	67.86	67.86	67.86	67.86	7	7.903	d75bc642453ac1e156591fb24813c211aa069b4c3be72b522f72c55856792fe4	99.82	52.14	76.07	76.07	72.86	79.29	77.97	74.59	75.25	35.31	160760.0	0.0	0.17	0.04	0.04	0.17	0.15	0.08	0.07	0.05	0.08	39080.0	1416.387	("e2a8c498f6005269f121cc1bf4cce7b0b64cfefdd87b7cf90be083311c9b5a0f", "e71fafcd6d8d4a023df9d1f0f3890f656617239480259c85df0483279c0734d6", "b761f79e38afbdd1089ceef47d9b97c70300b8dd6020789aa56c36a0a3c3ea2a", "d03747912b2a127765f584299eeb0890dea834a5cf9d374d54bebc6059cbfa8e", "15546d98cb590f5665d264f3109683f3bd7885abe96417f81c0fcfd632f6a737")	
7	20.0	fft	200	700	fcmel	8000	true	stump_with_memoization	("c",1,false,"KDD",["NG","Normalize"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	226	56	(113, 113)	(28, 28)	[60]	[(50,)]	96.9	21.43	60.71	60.71	64.29	57.14	60.0	61.54	62.07	41	49.197	8bf26625b14b125386f85d1ddd03295e823fa0495afdcf611ed8479f72b677a1	92.04	21.43	60.71	60.71	67.86	53.57	59.38	62.5	63.33	29	27.73	1a0ecf748b8d0f7d497f7b1e07d5f991a9269c58634e33f59ba159293839de11	83.63	17.86	58.93	58.93	57.14	60.71	59.26	58.62	58.18	19	25.734	66fffc76fd865ba9983f12df4cc2c52f508ddccbbc6ebc273a87bbf0cfea7d7c	96.46	21.43	60.71	60.71	64.29	57.14	60.0	61.54	62.07	37	28.419	b6065a4ad70146144fef2274b60ea4bdba3b229ad7ea49a417700840014aa6f2	91.59	21.43	60.71	60.71	67.86	53.57	59.38	62.5	63.33	29	27.376	b9a75c36edf8eeda8f63d21c63689e54011f096e0d1e535f496007165b1a2549	83.63	17.86	58.93	58.93	57.14	60.71	59.26	58.62	58.18	19	25.324	66fffc76fd865ba9983f12df4cc2c52f508ddccbbc6ebc273a87bbf0cfea7d7c	99.82	34.29	67.14	67.14	70.0	64.29	66.05	68.47	67.93	32.83	156320.0	0.0	1.25	0.31	0.31	0.68	0.13	0.22	0.45	0.4	0.08	41320.0	1356.016	("5499789e6bb1d7fbacd96871802ca10505981cc9d9d5e6cb85db106271c7948d", "ef5add015e3152c015a38d7538ca4a58d3fe169cd2a914da7857581a17ccb34b", "3a85cdfce42bab5ad3370d7105055cbc55de645738f352399f98214690289858", "c3afd56e76b1a13c053482868180315fd3c04545192e5102a32406a9efa5d328", "cb511bb373857aa64bd8f1a463155fdb6b6861071e0c425eb4753245eb387466")	
8	20.0	fft	200	700	fcmel	8000	true	stump_with_memoization	("c",1,false,"KDD",["NG","Normalize"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	226	56	(113, 113)	(28, 28)	[60]	[(50,)]	91.59	-7.14	46.43	46.43	46.43	46.43	46.43	46.43	46.43	23	15.976	289629fcd30254c81bdcafe56a0d22f09ba4cbbbda8480886df342c24531eff3	88.05	-7.14	46.43	46.43	46.43	46.43	46.43	46.43	46.43	19	13.435	5a2615293d3f750e52855fac18f9c1cd3f067dfd0824ed05b757cc28542ed145	81.86	-3.57	48.21	48.21	42.86	53.57	48.0	48.39	45.28	13	12.773	1f0c9bc5186caae8d90b1cafdad106f78c6e7b8e8e5fd46494ec982d60a3167e	91.59	-7.14	46.43	46.43	46.43	46.43	46.43	46.43	46.43	23	13.778	289629fcd30254c81bdcafe56a0d22f09ba4cbbbda8480886df342c24531eff3	88.05	-7.14	46.43	46.43	46.43	46.43	46.43	46.43	46.43	19	13.896	5a2615293d3f750e52855fac18f9c1cd3f067dfd0824ed05b757cc28542ed145	81.86	-3.57	48.21	48.21	42.86	53.57	48.0	48.39	45.28	13	13.259	1f0c9bc5186caae8d90b1cafdad106f78c6e7b8e8e5fd46494ec982d60a3167e	100.0	39.29	69.64	69.64	68.57	70.71	70.08	69.7	69.07	33.72	153600.0	0.0	0.51	0.13	0.13	0.85	0.22	0.06	0.29	0.28	0.01	47800.0	1423.725	("1086b7a18d5fdf511e02ea2b037e3a64b59957609c7163b0a6e01a781dfc0443", "c9eb818482891977b4c62665ebcada53becaf86abbe88b877e60880e9efa2d3b", "e2be55d20581e0e8785fe0398d58f91a98f3d5932fe992f73f90b55684a862e0", "031c87a95d168aef0ec11716c76e7c1a940585807cf9e93b0fa94426d499ee44", "a8ee9bb2bb99d5c998324577a223044a79e7d7e42445cec269ad20e4e87680a9")	
9	20.0	fft	200	700	fcmel	8000	true	stump_with_memoization	("c",1,false,"KDD",["NG","Normalize"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	226	56	(113, 113)	(28, 28)	[60]	[(50,)]	97.35	14.29	57.14	57.14	57.14	57.14	57.14	57.14	57.14	37	40.964	7b915ed9894466eb0a1ffb8be53418784e66382e595039b67abf9c75397ec6a2	92.48	10.71	55.36	55.36	57.14	53.57	55.17	55.56	56.14	27	22.123	df0db4559720dd1342c990f02ae324d61ba5b4605d22eda34422be05c431da17	84.07	14.29	57.14	57.14	57.14	57.14	57.14	57.14	57.14	15	14.055	6bcd56feee458a3ae0143521f23009ba2ae6e2b9459b788de16410cbf74b02aa	95.58	21.43	60.71	60.71	60.71	60.71	60.71	60.71	60.71	35	22.388	93af1e0d3bc254289ce99f966a49bc693a9eb99b0100743716e71ed375a5f8b9	92.04	14.29	57.14	57.14	57.14	57.14	57.14	57.14	57.14	27	22.651	8c4740562448273cc01e024707cd10848548a600effc930b9d7a4c1ab5bc44cb	84.07	14.29	57.14	57.14	57.14	57.14	57.14	57.14	57.14	15	14.421	6bcd56feee458a3ae0143521f23009ba2ae6e2b9459b788de16410cbf74b02aa	99.56	17.86	58.93	58.93	48.57	69.29	61.66	57.31	54.15	30.09	149200.0	0.0	1.59	0.4	0.4	0.48	0.93	0.66	0.28	0.45	0.03	18600.0	1338.434	("164c6097b2d85d70c7bf30ff462b4d64b71ad75fbbea3c28ddb50c7b775b82c0", "bf7abc63ad48608fd41ced031deec4fde7ea79dae1c93fad4ba880203d6797c3", "8b25f4cff749fec6828555156c8529eff2d78083053abcae257806f8faa8c612", "6e5fbba3f169b908b381ef1917615c20da4a7f74a1ffce766a9bf7ccbaa422ff", "596dc6b24ebd49528f617bd8dad173e301c70529a80cd82a3ad835f22df37d4a")	
10	20.0	fft	200	700	fcmel	8000	true	stump_with_memoization	("c",1,false,"KDD",["NG","Normalize"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	226	56	(113, 113)	(28, 28)	[60]	[(50,)]	97.35	3.57	51.79	51.79	64.29	39.29	51.43	52.38	57.14	37	39.734	e98fb76ba8587f266ccaae5213146b92debe99ced3b27a839572b8ce536ec21b	91.15	14.29	57.14	57.14	57.14	57.14	57.14	57.14	57.14	23	33.699	bdb0ee1e339de0cb34d324cdec68db3e28e42a48eeb488a7ad439fbdc31c21be	85.84	14.29	57.14	57.14	57.14	57.14	57.14	57.14	57.14	17	33.107	85f8a984fa00832f1ea3a4d135152cf5d2db61aa5e0246fca0193b290715aa7a	95.13	10.71	55.36	55.36	60.71	50.0	54.84	56.0	57.63	33	35.098	55e1c74a52333cfdee836bf5150e95aaae2ad034cdf260e5e5ab2085cb38ccc1	91.15	14.29	57.14	57.14	57.14	57.14	57.14	57.14	57.14	23	34.033	bdb0ee1e339de0cb34d324cdec68db3e28e42a48eeb488a7ad439fbdc31c21be	85.84	14.29	57.14	57.14	57.14	57.14	57.14	57.14	57.14	17	32.903	85f8a984fa00832f1ea3a4d135152cf5d2db61aa5e0246fca0193b290715aa7a	99.73	23.57	61.79	61.79	64.29	59.29	61.14	62.74	62.55	31.33	147680.0	0.0	0.29	0.07	0.07	0.57	0.1	0.03	0.19	0.18	0.03	38120.0	1282.47	("d7e9a8827d76ee2a35418bb1b03ad125b914bd6deef91d56f2f0b7bb0464d05c", "2b5977fee8c17e0897d9c91623d90bc15d160b82decfe0b56e478deb154a39f5", "65bc519c28139cf851dee966089f3039f97cc6cf927d05ed3c0141e3af1813aa", "e72835b5d19ea77d9643b380ea95ec4cff60fc95790e9e2a5e2ab22b75dea89d", "7be6951b04d1423585d3092072826aca05d4d8e7d1ee7caacf5ff169b93f9b7b")	
